,APM,Tcell,IFNgamma,PDL1
TCGA-HQ-A5ND,1.726488651,-0.345541477,2.792559237,0.8352275
TCGA-HQ-A5NE,1.73627077,-0.210255978,2.48238998,1.990779143
TCGA-K4-A3WS,1.716444819,0.218521407,2.999449282,1.438018348
TCGA-K4-A3WU,1.551690719,0.411403973,2.356044281,1.548031761
TCGA-K4-A3WV,1.480245718,-0.701823586,1.766711461,1.869125481
TCGA-K4-A4AB,1.626312787,-0.192158666,2.169857637,1.293886045
TCGA-K4-A4AC,1.718127062,-0.193777202,3.043102882,1.350063792
TCGA-K4-A54R,1.72955935,0.180082274,3.379030649,2.341737139
TCGA-K4-A5RH,1.757641033,1.037294839,3.812277614,2.599656045
TCGA-K4-A5RI,1.54450514,-0.576992802,2.167663561,1.034150992
TCGA-K4-A5RJ,1.743007378,0.92928528,3.744943782,1.934426736
TCGA-K4-A6FZ,1.724789983,-0.304467685,2.933003567,2.417052974
TCGA-K4-A6MB,1.574088731,-0.596140082,1.824916631,0.913782074
